Entity,Code,Day,Total confirmed cases of COVID-19 (Johns Hopkins),Total confirmed cases of COVID-19 (WHO),Total confirmed cases of COVID-19
China,CHN,2020/2/16,70446,51174,68566
China,CHN,2020/2/17,72364,70635,70618
China,CHN,2020/2/18,74139,72528,72508
China,CHN,2020/2/19,74546,74280,74258
China,CHN,2020/2/20,74999,74675,74652
China,CHN,2020/2/21,75472,75569,75543
China,CHN,2020/2/22,76922,76392,76369
China,CHN,2020/2/23,76938,77042,77016
China,CHN,2020/2/24,77152,77262,77234
China,CHN,2020/2/25,77660,77780,77749
China,CHN,2020/2/26,78065,78191,78159
China,CHN,2020/2/27,78498,78630,78598
China,CHN,2020/2/28,78824,78961,78927
China,CHN,2020/2/29,79251,79394,79355
United States,USA,2020/2/16,13,15,15
United States,USA,2020/2/17,13,15,15
United States,USA,2020/2/18,13,15,15
United States,USA,2020/2/19,13,15,15
United States,USA,2020/2/20,13,15,15
United States,USA,2020/2/21,15,15,16
United States,USA,2020/2/22,15,35,35
United States,USA,2020/2/23,15,35,35
United States,USA,2020/2/24,51,35,35
United States,USA,2020/2/25,51,53,53
United States,USA,2020/2/26,57,53,53
United States,USA,2020/2/27,58,59,59
United States,USA,2020/2/28,60,59,60
United States,USA,2020/2/29,68,62,66
United Kingdom,GBR,2020/2/16,9,9,10
United Kingdom,GBR,2020/2/17,9,9,10
United Kingdom,GBR,2020/2/18,9,9,10
United Kingdom,GBR,2020/2/19,9,9,10
United Kingdom,GBR,2020/2/20,9,9,10
United Kingdom,GBR,2020/2/21,9,9,10
United Kingdom,GBR,2020/2/22,9,9,10
United Kingdom,GBR,2020/2/23,9,9,11
United Kingdom,GBR,2020/2/24,13,9,11
United Kingdom,GBR,2020/2/25,13,13,11
United Kingdom,GBR,2020/2/26,13,13,13
United Kingdom,GBR,2020/2/27,15,13,18
United Kingdom,GBR,2020/2/28,20,16,22
United Kingdom,GBR,2020/2/29,23,20,30
